State Name,Diploma Recipients,Grades 9-12 Students [State] 2022-23,Grade 12 Students,Total,Median income (dollars),Mean income (dollars),Spending,sample grad rate,Poverty Rate,grad rate,Salary_Teach,S/T_rate,Schools#
ALABAMA,48253,222089,50261,"2,051,545","62,212","85,530",11864.33447,0.960048547,0.156,0.891,"$60,441 ",15.4,149
ALASKA,8125,38913,9581,"276,852","86,631","114,201",21222.1643,0.848032564,0.104,0.932,"$76,371 ",18.7,54
ARIZONA,78847,368829,95122,"2,907,014","77,315","104,620",11624.58226,0.828903934,0.124,0.894,"$60,275 ",22.8,660
ARKANSAS,31709,148457,33074,"1,232,871","58,700","81,056",12911.72568,0.958728911,0.157,0.893,"$54,309 ",15.3,259
CALIFORNIA,447137,1936526,488888,"13,699,816","95,521","134,491",16974.84616,0.914600072,0.12,0.848,"$95,160 ",20,1018
COLORADO,60441,279830,71213,"2,428,261","92,911","124,578",15431.51639,0.848735484,0.093,0.933,"$63,224 ",16.5,185
CONNECTICUT,36750,164921,40345,"1,442,969","91,665","131,007",23987.7256,0.910893543,0.103,0.918,"$83,400 ",12.2,201
DELAWARE,9686,45134,9982,"412,048","81,361","109,486",18046.63602,0.970346624,0.105,0.914,"$68,787 ",14,45
DISTRICT OF COLUMBIA,4047,21181,3843,"334,673","108,210","160,752",33222.44876,1.053083528,0.14,0.927,"$84,882 ",11.3,70
FLORIDA,197372,894064,205886,"8,966,402","73,311","103,634",12279.04432,0.958647018,0.123,0.902,"$53,142 ",20.7,75
GEORGIA,115961,545924,117640,"4,150,138","74,632","103,146",13569.53866,0.985727644,0.136,0.893,"$64,461 ",14.5,226
HAWAII,11424,51961,10974,"493,898","95,322","124,713",17587.90327,1.041006014,0.101,0.93,"$70,947 ",15.5,1
IDAHO,21549,99336,23613,"733,244","74,942","98,653",10261.08613,0.912590522,0.101,0.922,"$56,365 ",17.8,183
ILLINOIS,133958,595765,146285,"5,071,288","80,306","110,930",20842.98277,0.915732987,0.116,0.906,"$73,916 ",13.8,852
INDIANA,72110,325663,79665,"2,754,881","69,477","91,900",12811.43816,0.90516538,0.123,0.904,"$57,015 ",16.9,417
IOWA,34958,156342,37922,"1,337,243","71,433","93,942",15206.22439,0.921839565,0.113,0.933,"$61,231 ",13.4,328
KANSAS,34170,146266,34750,"1,188,340","70,333","93,781",14327.86094,0.983309353,0.112,0.917,"$56,374 ",14.1,286
KENTUCKY,46815,201095,44710,"1,853,603","61,118","83,499",13702.88663,1.04708119,0.164,0.895,"$56,296 ",16.4,171
LOUISIANA,41586,212772,47504,"1,833,915","58,229","83,303",14101.92716,0.875421017,0.189,0.878,"$54,371 ",14.2,169
MAINE,12671,55447,13714,"616,085","73,733","97,157",20182.63897,0.923946332,0.104,0.949,"$59,964 ",11.8,205
MARYLAND,60995,276484,61016,"2,384,715","98,678","129,366",18753.74905,0.999655828,0.095,0.912,"$79,420 ",14.2,24
MASSACHUSETTS,67728,292428,70494,"2,800,984","99,858","138,516",22797.81565,0.960762618,0.104,0.914,"$89,576 ",11.8,398
MICHIGAN,100407,452438,110147,"4,107,809","69,183","93,806",15594.1861,0.911572716,0.135,0.92,"$67,011 ",16.7,832
MINNESOTA,62224,280848,73201,"2,344,432","85,086","113,293",17594.14276,0.850043032,0.093,0.943,"$70,005 ",15.2,559
MISSISSIPPI,29250,130037,28317,"1,166,617","54,203","76,305",11791.2397,1.032948406,0.18,0.878,"$53,354 ",13.7,152
MISSOURI,61558,273338,63947,"2,556,271","68,545","93,074",13746.27533,0.962640937,0.12,0.92,"$53,999 ",11.7,556
MONTANA,9543,45378,10066,"472,867","70,804","94,069",15546.19987,0.948042917,0.117,0.944,"$55,909 ",13.6,401
NEBRASKA,22518,98972,25648,"813,864","74,590","101,268",16666.67149,0.877963194,0.105,0.927,"$58,763 ",12.4,244
NEVADA,31696,152052,35354,"1,224,685","76,364","103,067",12074.21065,0.896532217,0.12,0.877,"$61,719 ",25.4,20
NEW HAMPSHIRE,12418,54142,12879,"569,493","96,838","124,500",20705.04535,0.964205295,0.072,0.944,"$64,169 ",10.7,168
NEW JERSEY,97804,408963,98502,"3,538,457","99,781","138,153",24402.78989,0.992913849,0.097,0.907,"$81,102 ",11.8,691
NEW MEXICO,19026,101654,21614,"856,580","62,268","85,782",13643.02647,0.880262793,0.178,0.875,"$63,580 ",13.7,89
NEW YORK,181108,783223,186147,"7,809,267","82,095","122,227",28260.78531,0.972929996,0.142,0.883,"$92,696 ",11.1,731
NORTH CAROLINA,107208,481741,103169,"4,392,669","70,804","98,139",11551.71007,1.039149357,0.128,0.906,"$56,559 ",14.9,115
NORTH DAKOTA,7101,34185,7840,"338,059","76,525","98,324",17768.84961,0.905739796,0.098,0.945,"$56,740 ",12.5,168
OHIO,120007,535556,129578,"4,917,309","67,769","93,500",16218.22516,0.926137153,0.133,0.919,"$66,390 ",17.2,989
OKLAHOMA,43941,204594,45233,"1,589,105","62,138","85,650",11430.82019,0.971436783,0.159,0.897,"$55,505 ",16.4,509
OREGON,39591,183221,45231,"1,752,050","80,160","107,214",17912.86082,0.875306759,0.122,0.92,"$72,476 ",17.4,222
PENNSYLVANIA,125585,551996,132794,"5,324,209","73,824","102,578",19823.89023,0.945712909,0.12,0.922,"$74,945 ",13.8,789
RHODE ISLAND,9657,44533,10835,"443,980","84,972","113,091",19691.43805,0.891278265,0.108,0.896,"$79,289 ",12.7,66
SOUTH CAROLINA,50247,240463,50468,"2,177,733","67,804","92,578",14510.56839,0.995620988,0.139,0.902,"$57,778 ",14.5,82
SOUTH DAKOTA,8661,42036,9243,"378,559","71,810","96,650",13239.01659,0.937033431,0.118,0.935,"$53,153 ",13.8,149
TENNESSEE,65890,300911,69874,"2,889,226","67,631","94,180",11802.33363,0.942983084,0.14,0.901,"$55,369 ",14.7,146
TEXAS,377367,1668741,366718,"11,260,645","75,780","106,549",13900.35759,1.029038662,0.137,0.863,"$60,716 ",14.8,1209
UTAH,46649,214800,50821,"1,167,591","93,421","117,752",10801.7705,0.917907951,0.09,0.931,"$63,481 ",22.2,157
VERMONT,5008,24384,5653,"279,612","81,211","105,931",25123.78753,0.885901291,0.097,0.955,"$66,536 ",10.6,184
VIRGINIA,93829,400497,94308,"3,402,670","89,931","123,132",15090.99047,0.994920897,0.102,0.914,"$63,103 ",11.9,131
WASHINGTON,68308,348814,89098,"3,101,265","94,605","129,161",19309.67141,0.766661429,0.103,0.924,"$86,804 ",16.7,318
WEST VIRGINIA,17248,76900,17489,"743,644","55,948","76,585",14584.83195,0.98621991,0.167,0.89,"$52,870 ",13,59
WISCONSIN,61726,262627,65968,"2,495,539","74,631","97,894",15712.06632,0.935696095,0.107,0.937,"$62,524 ",14.6,449
WYOMING,6247,29151,6658,"247,368","72,415","93,304",19937.95405,0.938269751,0.113,0.939,"$61,979 ",12.6,48
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
